"STATION","NAME","DATE","ACMC","AWND","PRCP","TAVG","TSUN","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-06-08",,"10.51","0.93",,"  210",,"    1",,"    1",,,,,"    1",,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-06-09",,"13.65","0.00",,"  828",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-06-10",,"13.87","0.00",,"  598",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-06-11",,"8.05","0.00",,"  816",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-06-12",,"11.86","0.00",,"  130",,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-06-13",,"12.75","0.00",,"  913",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-06-14",,"9.62","0.90",,"   60",,"    1",,"    1",,,,,"    1",,,,,,,"    1",,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-06-15",,"9.17","0.00",,"  881",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-06-16",,"7.38","0.00",,"  756",,,,,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-06-17",,"13.87","0.00",,"  395",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-06-18",,"18.57","0.00",,"  833",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","1990-06-19",,"10.74","0.00",,"  523",,,,,,,,,,,,,,,,,,,,,,,
